cell_index,x,y,dist_along_px,dist_along_um,Ki67,HER2,EGFR,CD44
489982,26545.587412587414,7441.895104895105,299.13519091302527,194.43787409346643,5332.972027972028,13145.867132867132,4363.125874125874,2736.8321678321677
489983,26596.123076923075,7441.892307692307,342.4276539826636,222.57797508873136,5364.169230769231,15640.384615384615,4835.446153846154,8000.123076923077
490006,26555.45238095238,7439.976190476191,308.57593306628866,200.57435649308763,23452.190476190477,16237.57142857143,5897.714285714285,3016.3809523809523
490019,26529.374045801527,7443.786259541985,284.270459622714,184.7757987547641,4197.954198473282,11147.725190839694,5085.763358778626,3502.595419847328
490020,26575.150943396227,7444.138364779874,323.3032611387905,210.14711974021384,6780.094339622641,12984.987421383648,4540.03144654088,3901.566037735849
490033,26587.420168067227,7446.563025210084,332.5626998344076,216.16575489236496,12770.55462184874,13403.563025210084,4947.033613445378,4307.731092436975
490045,26483.135922330097,7447.271844660194,242.86265031909522,157.8607227074119,46387.11650485437,14123.029126213592,3587.9223300970875,2979.7281553398057
490046,26506.155555555557,7446.888888888889,262.7798271735795,170.80688766282668,10131.481481481482,14856.251851851852,4507.533333333334,8864.214814814815
490047,26518.85,7445.633333333333,274.30218671856875,178.29642136706968,7489.016666666666,12537.766666666666,4463.2,3054.866666666667
490048,26560.707692307693,7445.923076923077,310.0098016860513,201.50637109593333,12710.707692307691,16357.36923076923,4510.030769230769,4823.076923076923
490063,26547.20338983051,7451.423728813559,295.6035963597774,192.1423376338553,5162.011299435028,15650.949152542373,4331.853107344633,3482.3954802259886
490079,26493.885496183208,7447.679389312977,251.86094058322368,163.7096113790954,6012.702290076336,14863.198473282442,3504.9236641221373,5857.625954198474
490115,26532.798507462685,7453.298507462687,282.2965390115231,183.49275035749002,3821.910447761194,13662.58208955224,3422.910447761194,2842.544776119403
490132,26571.08403361345,7453.117647058823,315.18687225944245,204.8714669686376,7647.504201680672,14918.915966386554,5600.453781512605,4993.294117647059
490152,26461.405797101448,7455.282608695652,220.1148606786148,143.07465944109964,3893.731884057971,15702.420289855072,3414.6884057971015,3007.108695652174
490153,26555.75,7454.205882352941,301.48964944920476,195.9682721419831,5019.264705882353,13785.426470588236,4832.985294117647,2714.6176470588234
490154,26610.842696629217,7451.61797752809,350.0195442949577,227.51270379172252,5168.011235955056,18370.65168539326,6043.76404494382,9626.696629213484
490166,26476.221374045803,7455.580152671756,232.65301419868246,151.2244592291436,7207.67175572519,14559.465648854964,4254.244274809161,4445.93893129771
490178,26520.17886178862,7455.195121951219,270.5075267468718,175.82989238546668,25780.52032520325,13649.39024390244,4158.59349593496,5091.878048780488
490179,26595.989304812832,7455.31550802139,335.387899034769,218.00213437259987,6531.946524064171,14656.262032085562,4348.07486631016,4742.92513368984
490191,26563.454545454544,7459.44696969697,305.38576580670167,198.50074777435609,4899.992424242424,13380.416666666666,5226.333333333333,2345.780303030303
490192,26620.32402234637,7459.117318435754,354.27267187030225,230.27723671569646,4324.765363128492,15465.016759776536,5029.7206703910615,7704.189944134078
490205,26486.225,7458.733333333334,239.59579305819352,155.7372654878258,4107.4,13425.358333333334,3987.45,3767.7166666666662
490206,26510.216216216217,7458.081081081081,260.4842023022331,169.31473149645151,4195.9009009009005,16985.504504504504,3878.5495495495497,6711.783783783784
490207,26581.405263157896,7459.836842105263,320.5619823783225,208.36528854590964,31522.663157894734,13398.27894736842,4538.621052631579,3185.9684210526316
490234,26449.01829268293,7459.25,207.45637661813475,134.8466448017876,3503.2926829268295,15430.341463414634,3109.6158536585367,3516.8414634146343
490235,26499.140845070426,7459.8239436619715,250.09740401565887,162.56331261017826,4071.542253521127,15629.084507042253,3913.0915492957743,4184.281690140845
